Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
WaterTankSH_Building18,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building19,1.0,0.1,190.4333487639987,51.10836215946,20.0
WaterTankSH_Building2,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building3,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building4,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building5,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building6,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building7,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building8,1,0.1,99.09834605,6.020004999,20
WaterTankSH_Building9,1,0.1,99.09834605,6.020004999,20
