Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
ThermalSolar_Building14,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building15,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building16,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building17,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building18,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building19,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building2,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building20,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building21,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building22,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building23,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building24,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building25,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building26,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building27,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building28,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building29,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building3,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building30,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building31,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building32,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building33,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building34,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building35,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building36,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building37,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building38,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building39,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building4,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building40,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building41,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building42,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building43,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building44,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building45,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building46,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building47,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building48,0.0,0.0,0.0,0.0,20.0
